Cylinder Model / Single- ended,Internal Volume cm³ / 10 / 25 / 50 / 10,Volume Tolerance / ± 10 % / ± 5% / ± 10 %,Ordering Number / SS-4CS-TW-10 / SS-4CS-TW-25 / SS-4CS-TW-50 / SS-4CD-TW-10,Pressure Rating psig (bar) / 1000 / (68.9),A in. (mm) / 2.19 (55.6) / 3.69 (93.7) / 6.25 (159) / 2.75 (69.8),Average Weight OZ (g) / 2.2 (62) / 3.2 (91) / 5.6 (159) / 1.9 (54)
Double- ended,25,±5%,SS-4CD-TW-25,,4.25 (108),3.3 (94)
,50,,SS-4CD-TW-50,,6.81 (173),5.1 (145)
